id,type,contentType,pagetitle,longtitle,description,alias,link_attributes,published,pub_date,unpub_date,parent,isfolder,introtext,content,richtext,template,menuindex,searchable,cacheable,createdby,createdon,editedby,editedon,deleted,deletedon,deletedby,publishedon,publishedby,menutitle,donthit,privateweb,privatemgr,content_dispo,hidemenu,class_key,context_key,content_type,uri,uri_override,hide_children_in_tree,show_in_tree,properties,alias_visible
<td valign=""bottom"" nowrap=""nowrap"" width=""41"">
<p>8</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""223"">
<p>Розрахунковий прибуток</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">263,68</p>
</td>
<td valign=""bottom"" width=""67"">
<p align=""right"">263,68</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">263,68</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">263,68</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">100,0</p>
</td>
</tr>
<tr>
<td valign=""bottom"" nowrap=""nowrap"" width=""41"">
<p>9</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""223"">
<p>Тариф на теплову енергію (без ПДВ)</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">1 583,83</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">1 694,26</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">107,0</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">1 583,83</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">1 694,26</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">107,0</p>
</td>
</tr>
<tr>
<td valign=""bottom"" nowrap=""nowrap"" width=""41"">
<p>10</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""223"">
<p>Податок на додану вартість</p>
</td>
<td valign=""bottom"" width=""76"">
<p>грн./Гкал</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">316,77</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">338,85</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">107,0</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">316,77</p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right"">338,85</p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right"">107,0</p>
</td>
</tr>
<tr>
<td valign=""bottom"" width=""41"">
<p><strong>11</strong></p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""223"">
<p><strong>Тариф на теплову енергію (з ПДВ)</strong></p>
</td>
<td valign=""bottom"" width=""76"">
<p><strong>грн./Гкал</strong></p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right""><strong>1 900,60</strong></p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right""><strong>2 033,11</strong></p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right""><strong>107,0</strong></p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right""><strong>1 900,60</strong></p>
</td>
<td valign=""bottom"" nowrap=""nowrap"" width=""67"">
<p align=""right""><strong>2 033,11</strong></p>
</td>
<td valign=""bottom"" width=""44"">
<p align=""right""><strong>107,0</strong></p>
</td>
</tr>
</tbody>
</table>
<p> </p>
<p>Перелік витрат, що входять до структури коригованих тарифів на послуги з централізованого постачання гарячої води та відсоток їх росту:</p>
<table style=""width: 591px;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td width=""279"">
<p align=""center""><strong><em>Планові витрати за елементами</em></strong></p>
</td>
<td width=""104"">
<p align=""center""><strong><em>Діючий тариф</em></strong></p>
</td>
<td width=""104"">
<p align=""center""><strong><em>Коригований тариф</em></strong></p>
</td>
<td width=""104"">
<p align=""center""><strong><em>ріст, %</em></strong></p>
</td>
</tr>
<tr>
<td colspan=""4"" width=""591"">
<p align=""center""><strong>Для бюджетних установ і організацій</strong></p>
</td>
</tr>
<tr>
<td width=""279"">
<p>1. Централізоване постачання гарячої води (грн./куб.м. з ПДВ):</p>
</td>
<td width=""104"">
<p align=""right"">102,77</p>
</td>
<td width=""104"">
<p align=""right"">110,48</p>
</td>
<td width=""104"">
<p align=""right"">107,5</p>
</td>
</tr>
<tr>
<td width=""279"">
<p>теплова енергія</p>
</td>
<td width=""104"">
<p align=""right"">66,01</p>
</td>
<td width=""104"">
<p align=""right"">71,53</p>
</td>
<td width=""104"">
<p align=""right""> 108,4</p>
</td>
</tr>
<tr>
<td width=""279"">
<p>вартість холодної води</p>
</td>
<td width=""104"">
<p align=""right"">5,38</p>
</td>
<td width=""104"">
<p align=""right"">6,29</p>
</td>
<td width=""104"">
<p align=""right""> 116,9</p>
</td>
</tr>
<tr>
<td width=""279"">
<p>прибуток</p>
</td>
<td width=""104"">
<p align=""right"">14,25</p>
</td>
<td width=""104"">
<p align=""right"">14,25</p>
</td>
<td width=""104"">
<p align=""right""> 100,0</p>
</td>
</tr>
<tr>
<td width=""279"">
<p>тариф</p>
</td>
<td width=""104"">
